,City Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ambilobe,-13.2,49.05,68.11,82,32,4.16,MG,1592872024
1,Lucea,18.45,-78.17,86.0,74,20,14.99,JM,1592872024
2,Saint-Pierre,-21.34,55.48,66.2,77,19,5.82,RE,1592872024
3,Atuona,-9.8,-139.03,79.83,79,43,13.73,PF,1592872024
4,Codrington,-38.27,141.97,58.24,85,93,16.37,AU,1592872024
5,Severo-Kuril'sk,50.68,156.12,50.52,77,92,11.14,RU,1592871916
6,Leningradskiy,69.38,178.42,34.72,86,100,16.67,RU,1592872024
7,Puławy,51.42,21.97,64.99,44,100,13.51,PL,1592872024
8,Keti Bandar,24.14,67.45,85.14,80,5,9.37,PK,1592872024
9,George Town,5.41,100.34,78.8,94,20,2.24,MY,1592872025
10,Albany,42.6,-73.97,87.01,51,35,3.04,US,1592872025
11,Hobart,-42.88,147.33,55.0,93,75,18.34,AU,1592871766
12,Barrow,71.29,-156.79,35.6,80,90,14.99,US,1592872025
13,Port Lincoln,-34.73,135.87,55.38,73,70,5.03,AU,1592872025
14,Khatanga,71.97,102.5,82.65,27,84,12.97,RU,1592872025
15,Ostrovnoy,68.05,39.51,39.25,80,94,17.98,RU,1592872025
16,Geraldton,-28.77,114.6,64.4,63,75,16.11,AU,1592871896
17,Twin Falls,42.56,-114.46,84.2,18,1,10.29,US,1592871921
18,Tuktoyaktuk,69.45,-133.04,62.6,55,75,9.17,CA,1592872025
19,Goderich,43.75,-81.72,80.01,86,80,2.84,CA,1592872025
20,Torbay,47.67,-52.73,57.0,93,90,12.75,CA,1592872026
21,Mettur,11.8,77.8,80.82,60,100,0.98,IN,1592872026
22,Nsanje,-16.92,35.26,60.12,92,0,1.21,MW,1592872026
23,General Pico,-35.66,-63.76,52.59,67,95,9.44,AR,1592872026
24,Rudnya,54.95,31.09,57.04,97,66,6.98,RU,1592872026
25,Bengkulu,-3.8,102.27,75.6,91,100,6.73,ID,1592871780
26,Tătărani,45.0,25.27,59.0,85,71,3.6,RO,1592872026
27,Cape Town,-33.93,18.42,54.0,100,75,6.93,ZA,1592871926
28,Saint-Philippe,-21.36,55.77,66.2,77,37,5.82,RE,1592872026
29,Andenes,69.31,16.12,55.4,82,14,3.0,NO,1592872026
30,Busselton,-33.65,115.33,59.0,71,51,19.89,AU,1592872026
31,Gutiérrez Zamora,20.45,-97.08,86.0,74,90,9.17,MX,1592872027
32,Puerto Ayora,-0.74,-90.35,70.0,92,40,5.99,EC,1592872027
33,George Town,5.41,100.34,78.8,94,20,2.24,MY,1592872025
34,Cantagallo,7.38,-73.92,79.66,88,11,0.43,CO,1592872027
35,Mount Isa,-20.73,139.5,60.8,35,0,13.87,AU,1592871778
36,Zeya,53.75,127.27,65.37,43,0,4.94,RU,1592871951
37,Sur,22.57,59.53,85.26,68,89,1.57,OM,1592872027
38,Lebu,-37.62,-73.65,49.23,77,48,7.49,CL,1592872027
39,Comodoro Rivadavia,-45.87,-67.5,46.4,52,32,9.17,AR,1592872027
40,Kānt,27.8,79.8,83.97,70,80,10.56,IN,1592872027
41,Bethel,41.37,-73.41,81.0,61,1,11.41,US,1592871870
42,Tasiilaq,65.61,-37.64,50.0,72,4,8.05,GL,1592872028
43,Arcoverde,-8.42,-37.05,64.2,96,1,5.88,BR,1592872028
44,Bredasdorp,-34.53,20.04,44.6,100,0,4.97,ZA,1592871931
45,Padang,-0.95,100.35,76.05,85,100,3.09,ID,1592872028
46,Kahului,20.89,-156.47,93.2,34,40,21.92,US,1592871846
47,Qaanaaq,77.48,-69.36,38.01,88,98,3.87,GL,1592871902
48,Punta Arenas,-53.15,-70.92,41.0,86,97,17.22,CL,1592872018
49,Mataura,-46.19,168.86,39.0,83,28,3.0,NZ,1592872028
50,Yellowknife,62.46,-114.35,71.6,28,40,16.11,CA,1592872028
51,Korla,41.76,86.15,71.01,84,37,12.75,CN,1592872028
52,Plettenberg Bay,-34.05,23.37,59.14,47,0,3.11,ZA,1592872028
53,Chui,-33.7,-53.46,59.41,94,93,9.86,UY,1592872028
54,Castro,-24.79,-50.01,58.06,87,28,4.21,BR,1592871902
55,Kyabé,9.45,18.94,77.31,62,69,3.91,TD,1592872029
56,Atar,20.52,-13.05,98.65,11,0,15.97,MR,1592872029
57,Mikun',62.35,50.08,47.7,76,100,6.6,RU,1592872029
58,Ushuaia,-54.8,-68.3,33.8,86,20,3.36,AR,1592872029
59,Kiruna,67.86,20.23,57.2,58,73,2.24,SE,1592872029
60,Luorong,24.41,109.61,82.11,85,100,6.38,CN,1592872029
61,Hermanus,-34.42,19.23,55.0,86,0,5.01,ZA,1592872029
62,Rikitea,-23.12,-134.97,69.49,60,56,16.58,PF,1592872029
63,Bathsheba,13.22,-59.52,82.4,74,20,20.8,BB,1592872029
64,Merauke,-8.47,140.33,80.49,75,2,11.03,ID,1592871905
65,Caconda,-13.73,15.07,48.07,50,0,3.56,AO,1592872030
66,Havelock,34.88,-76.9,81.0,87,50,8.01,US,1592872030
67,Merrill,45.18,-89.68,66.2,72,1,4.7,US,1592872030
68,Tuatapere,-46.13,167.68,39.0,83,65,3.0,NZ,1592872030
69,Iberia,29.95,-91.75,77.0,94,40,4.7,US,1592872030
70,Karratha,-20.74,116.85,69.64,36,0,6.58,AU,1592872030
71,Kruisfontein,-34.0,24.73,51.35,68,0,4.23,ZA,1592872030
72,Seoul,37.57,126.98,82.4,51,100,2.24,KR,1592871802
73,São Geraldo do Araguaia,-6.4,-48.55,76.15,71,59,2.62,BR,1592872030
74,Almeirim,-1.52,-52.58,76.08,88,51,2.62,BR,1592872030
75,Taoudenni,22.68,-3.98,99.5,9,24,17.74,ML,1592872031
76,Iquique,-20.22,-70.14,62.6,72,90,2.24,CL,1592871822
77,Capaci,38.17,13.24,72.0,78,2,9.17,IT,1592872031
78,Kargala,56.62,83.96,57.99,84,81,4.34,RU,1592872031
79,Kapaa,22.08,-159.32,84.2,62,20,12.75,US,1592872031
80,Warman,52.32,-106.57,75.2,41,75,3.36,CA,1592872031
81,Broome,42.25,-75.83,80.01,57,1,3.36,US,1592872031
82,Kalang,5.92,121.36,83.03,76,62,1.81,PH,1592872031
83,Fortuna,40.6,-124.16,73.0,72,20,12.75,US,1592872031
84,Xinyu,27.8,114.93,81.18,90,99,5.39,CN,1592872031
85,Cabo San Lucas,22.89,-109.91,82.4,61,5,6.93,MX,1592871858
86,Ust-Nera,64.57,143.2,81.25,24,44,10.98,RU,1592872032
87,Malpe,13.35,74.72,75.2,94,75,4.7,IN,1592872032
88,Saint Anthony,45.02,-93.22,73.99,43,90,9.17,US,1592872032
89,Oranjemund,-28.55,16.43,54.5,84,0,4.32,NA,1592872032
90,Bagé,-31.33,-54.11,64.4,88,87,17.22,BR,1592872032
91,Hervey Bay,-25.3,152.85,64.4,42,0,9.17,AU,1592872032
92,Morden,49.19,-98.1,68.0,64,90,13.87,CA,1592872032
93,Mirny,62.54,113.96,68.0,64,31,4.47,RU,1592872032
94,Vila Franca do Campo,37.72,-25.43,66.2,93,40,9.17,PT,1592872032
95,Vallenar,-28.57,-70.76,65.59,55,100,3.2,CL,1592872033
96,Ponta do Sol,32.67,-17.1,69.8,68,20,12.75,PT,1592872033
97,New Norfolk,-42.78,147.06,55.0,92,100,3.0,AU,1592872033
98,Berdigestyakh,62.1,126.7,67.95,39,44,8.08,RU,1592872033
99,Moyale,3.52,39.06,67.89,73,40,9.53,KE,1592872033
100,Tamale,9.4,-0.84,77.43,83,96,9.51,GH,1592872033
